,skblid,description,detail,occupationtype,from,place
157,JeannaBauck,Lärare,"Konstlärare, Mal- und Zeichenschule für Frauen, München, och Verein der Berliner Künstlerinnens rit- och målarskola, Berlin",Yrke,"{'comment': '1882', 'date': '1882'}",
158,AnnikaBaude,Forskare,"Forskare, Arbetslivscentrum",Yrke,"{'comment': '1979', 'date': '1979'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
159,SallyBauer,Sekreterare,Sekreterare,Yrke,,"{'pin': {'lat': '55.604981', 'lon': '13.003822'}, 'place': 'Malmö'}"
160,IngamajBeck,Författare,Författare,Yrke,,
161,JuliaBeck,Konstnär,,Yrke,,
162,StinaBeckFriis,Illustratör,Illustratör,Yrke,,"{'pin': {'lat': 56.0464674, 'lon': -74.0059413}, 'place': 'Svedala'}"
163,ReginaBeckFriis,Lärare,"Lärare, danshistoria, Svenska Balettskolans gymnasium",Yrke,"{'comment': '1987', 'date': '1987'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
164,MargaretaVilhelminaGretaBeckius,Författare,Författare,Yrke,"{'comment': '1910', 'date': '1910'}",
165,GunnelBeckman,Kommun- och landstingspolitiker,"Ledamot, Solna kulturnämnd, styrelseledamot, Barn- och ungdomsrådet",Ideellt arbete,"{'comment': '1975', 'date': '1975'}","{'pin': {'lat': '59.368879', 'lon': '18.008433'}, 'place': 'Solna'}"
166,KajBeckman,Författare,Författare,Yrke,,
167,SigridBeckman,Jurist,"Advokat, egen byrå",Yrke,"{'comment': '1930', 'date': '1930'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
168,AnnaBehle,Lärare,Danslärare,Yrke,"{'comment': '1935', 'date': '1935'}","{'pin': {'lat': '55.604981', 'lon': '13.003822'}, 'place': 'Malmö'}"
169,DisaBeijer,Barnträdgårdsledare,"Barnträdgårdsledare, medgrundare, folkbarnträdgård inom Birkagården",Yrke,"{'comment': '1913', 'date': '1913'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
170,SynnoveBellander,Journalist,Medarbetare i *Svenska Dagbladet*,Yrke,"{'comment': '1930', 'date': '1930'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
171,ElinaBenckert,Skolgrundare,"Grundare, lärare, föreståndare, Luleå elementarläroverk för flickor",Yrke,"{'comment': '1875', 'date': '1875'}","{'pin': {'lat': 65.584819, 'lon': 22.156703}, 'place': 'Luleå'}"
172,NannaBendixson,Litteraturkritiker,"Recensent, barnböcker, Aftonbladet",Yrke,"{'comment': '1893', 'date': '1893'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
173,EmmaErikaBendz,Representativ verksamhet,"Professorska, värdinna och husmor",Ideellt arbete,"{'comment': '1882', 'date': '1882'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
174,CarolinaBenedicksBruce,,,Yrke,,
175,VictoriaBenedictsson,Författare,Författare,Yrke,"{'comment': '1876', 'date': '1876'}",
176,CeciliaBengtsdotter0,Kyrklig verksamhet,"Religiös förkunnare, ""profet""",Ideellt arbete,{'comment': '1670-talet'},
177,KatarinaKarinBengtsdotterGylta,Abbedissa,"Ordenssyster, fr o m 1553 abbedissa, Vadstena kloster",Yrke,{'comment': '?'},"{'pin': {'lat': '58.447602', 'lon': '14.890234'}, 'place': 'Vadstena'}"
178,HerthaBengtson,Formgivare,"Formgivare, sanitetsporslin, Ideal-Standard Europe",Yrke,,
179,ElsaBengtsson,Kommun- och landstingspolitiker,"Ledamot, Gävle folkskolestyrelse och pedagogiska nämnd",Ideellt arbete,,"{'pin': {'lat': 60.67488, 'lon': 17.141273}, 'place': 'Gävle'}"
180,ManjaBenkow,Lärare,"Dramapedagog, Nya Studion",Yrke,"{'comment': '1951', 'date': '1951'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
181,NinaAmandaConstantiaBennerAnderson,"Styrelseledamot, ordförande","Styrelseordförande, barnhemmet Sparvboet",Ideellt arbete,"{'comment': '1908', 'date': '1908'}",
182,CatharinavonBerchner0,Godsägare,"Godsägare, Hofsta säteri",Yrke,,"{'pin': {'lat': 58.833889, 'lon': 16.519722}, 'place': 'Björkvik'}"
183,MartaBerendes,Godsägare,Godsägare,Yrke,,
184,AinaBerg,Hotell- och restaurangarbete,"Städare och stewart, AB Svenska Amerika Linien",Yrke,,"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
185,AnnaBerg,Missionär,"Missionär, Svenska Missionsförbundet",Yrke,"{'comment': '1904', 'date': '1904'}","{'pin': {'lat': 30.4369576, 'lon': 114.8750766}, 'place': 'Huangzhou, Kina'}"
186,MartaKristinaBerg,Fotograf,Fotograf,Yrke,"{'comment': '1900', 'date': '1900'}","{'pin': {'lat': 60.872222, 'lon': 15.115556}, 'place': 'Rättvik'}"
187,OdaBerg,Föreståndare,"Ansvarig, Södra Kalmar läns Hemslöjdsförening",Ideellt arbete,"{'comment': '1921', 'date': '1921'}","{'pin': {'lat': 56.663445, 'lon': 16.356779}, 'place': 'Kalmar'}"
188,SiriBerg0,Lärare,"Konstlärare, New School University,  Parsons School of Design",Yrke,"{'comment': '1977', 'date': '1977'}","{'pin': {'lat': 40.712784, 'lon': -74.005941}, 'place': 'New York, USA'}"
189,MargitBergendorff,Lärare,"Småskollärare, Nya Elementar",Yrke,"{'comment': '1962', 'date': '1962'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
190,ChristinaCharlottaUlrikaBerger,Författare,"Författare, skillingtrycksförfattare, även översättare",Yrke,,
191,MargaretaAxelsdotterBerger,Översättare,Översättare,Yrke,{'comment': '1960-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
192,IngerMargaretaBerggren,Skådespelare,Skådespelare,Yrke,"{'comment': '1973', 'date': '1973'}",
193,KerstinBerggren,Bibliotekarie,"Bibliotekarie, lektör, skribent, Bibliotekstjänst i Lund",Yrke,"{'comment': '1961', 'date': '1961'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
194,GunhildBergh,Författare,Författare,Yrke,"{'comment': '1930', 'date': '1930'}","{'pin': {'lat': '41.902701', 'lon': '12.496235'}, 'place': 'Rom, Italien'}"
195,JeanetteBerglind,Skolledare,"Skolgrundare, skolföreståndare, lärare, Tysta skolan",Yrke,"{'comment': '1860', 'date': '1860'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
196,AnneMarieBerglund,Fotograf,"Fotograf, konstnär",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
197,LilyBerglund,Skådespelare,,Yrke,"{'comment': '1952', 'date': '1952'}",
198,AnnieBergman,Författare,Barnboksförfattare,Yrke,{'comment': '1920-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
199,EllenBergman0,Lärare,"Biträdande föreståndare, lärare, solo- och körsång, Isis Conservatory of Music",Yrke,"{'comment': '1900', 'date': '1900'}","{'pin': {'lat': 32.7174209, 'lon': -117.1627714}, 'place': 'San Diego, USA'}"
200,EllenBergman,Författare,Författare,Yrke,"{'comment': '2006', 'date': '2006'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
201,ElsaKristinaStinaBergman,Chef,"Chef, Svensk Filmindustris manusavdelning",Yrke,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
202,GunBergman,Forskare,"Forskare, författare, universitetslärare, slaviska språk, Uppsala universitet, Stockholms universitet",Yrke,{'comment': '1950-talet'},
203,IngridBergman,Skådespelare,,Yrke,"{'comment': '1931', 'date': '1931'}",
204,SigneBergman,Tidskriftsredaktör,,Ideellt arbete,"{'comment': '1912', 'date': '1912'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
205,AstridBergmanSucksdorff,Författare,Författare,Yrke,"{'comment': '1949', 'date': '1949'}",
206,MartinaBergmanOsterberg,Föreståndare,"Utbildningsföreståndare, Dartford College",Yrke,"{'comment': '1895', 'date': '1895'}",
207,BirgittaBergmark,Författare,Författare,Yrke,,
208,BirgittaBergquist,Sakkunnig,"Sakkunnig, fakultetsprogram avseende antikens kultur och samhällsliv",Yrke,"{'comment': '1985', 'date': '1985'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
209,AnnaElisabethAlbertinaBergstrandPoulsen,Författare,Författare,Yrke,"{'comment': '1926', 'date': '1926'}","{'pin': {'lat': '55.7524', 'lon': '12.574499999999944'}, 'place': 'Charlottenlund, Danmark'}"
210,GertrudBergstrom,Skolledare,"Skolgrundare och -ledare, hushålls- och ekonomiföreståndarskola",Yrke,"{'comment': '1926', 'date': '1926'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
211,GretaBergstrom,Biståndsarbetare,"Utbildare, utvecklingsarbete på uppdrag av FAO och SIDA",Yrke,"{'comment': '1975', 'date': '1975'}","{'pin': {'lat': '20.593684', 'lon': '78.96288'}, 'place': 'Indien'}"
212,BeataBergstrom,Lantbrukare,"Medarbetare, Rudolf Steiners Medicinal- och Örtagård",Yrke,"{'comment': '1983', 'date': '1983'}","{'pin': {'lat': 59.090833, 'lon': 17.559167}, 'place': 'Järna'}"
213,GunvorBergstrom,Jurist,"Kansliråd, Justitiedepartementet",Yrke,"{'comment': '1966', 'date': '1966'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
214,GurliMariaBergstromKaiGullmar0,Sångare,"Sångare, skådespelare, artist",Yrke,,
215,MajBrihtBergstromWalan,Sexualupplysare,"Grundare och terapeut, Svenska Sexualforskningsinstitutet, skribent, krönikör",Yrke,"{'comment': '1970', 'date': '1970'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
216,SonjaIngeborgBergvall,Översättare,,Yrke,"{'comment': '1930', 'date': '1930'}",
217,BeritBergvonLinde,Generalsekreterare,"Sekreterare, generalsekreterare, Riksförbundet Sveriges lottakårer",Yrke,"{'comment': '1943', 'date': '1943'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
218,SonjaMargaretaBergvonLinde,Sakkunnig,"Medarbetare, European Centre for Parliamentary Research and Documentation (ECPRD)",Ideellt arbete,"{'comment': '1981', 'date': '1981'}",
219,AnnaCatharinaBerlin,Författare,,Yrke,,"{'pin': {'lat': '55.447347', 'lon': '13.716244'}, 'place': 'Balkåkra'}"
220,CharlotteBerlin,Affärskvinna,"Affärskvinna, aktiehandlare",Yrke,,"{'pin': {'lat': '55.429505', 'lon': '13.820031'}, 'place': 'Ystad'}"
221,EbbaHenrietteBernadotte,Prinsessa,,Ideellt arbete,"{'comment': '1888', 'date': '1888'}",
222,MiaBerner,Författare,"Författare, översättare",Yrke,"{'comment': '1984', 'date': '1984'}",
223,KerstinBernhard,Fotograf,"Fotograf, ateljé och provkök i hemmet",Yrke,"{'comment': '1955', 'date': '1955'}","{'pin': {'lat': 59.36296, 'lon': 18.1468}, 'place': 'Lidingö'}"
224,ThoryBernhards,Sångare,,Yrke,"{'comment': '1940', 'date': '1940'}",
225,AstridBerwald,Skolledare,"Pianopedagog, fr o m 1935 föreståndare, Richard Anderssons musikskola",Yrke,"{'comment': '1911', 'date': '1911'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
226,ElisabethBeskow,Författare,Författare,Yrke,"{'comment': '1895', 'date': '1895'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
227,ElsaBeskow,Författare,Författare,Yrke,"{'comment': '1897', 'date': '1897'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
228,MajaBeskow,Lärare,"Teckningslärare, vikarie, fr o m 1903 ordinarie, Umeå högre allmänna läroverk",Yrke,"{'comment': '1900', 'date': '1900'}","{'pin': {'lat': '63.825847', 'lon': '20.263035'}, 'place': 'Umeå'}"
229,EvaKarolinaBeve,Konstnär,Konstnär,Yrke,"{'comment': '1897', 'date': '1897'}",
230,LouiseLisaBianchini,Konstnär,"Konstnär, miniatyrmålare",Yrke,,
231,AnnaBilling0,Konstnär,Konstnär,Yrke,{'comment': '1880-talet'},
232,EllaBilling,Kommun- och landstingspolitiker,"Ledamot, Stockholms stadsfullmäktige",Ideellt arbete,"{'comment': '1915', 'date': '1915'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
233,EvaBillow,Författare,"Illustratör, serietecknare, författare",Yrke,"{'comment': '1925', 'date': '1925'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
234,UllaBillquist,Sångare,"Sångare, skådespelare, revyartist",Yrke,"{'comment': '1925', 'date': '1925'}",
235,WivecaBillquist,Facklig verksamhet,"Facklig representant, SVT",Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
236,ChristinaReginavonBirchenbaum,Författare,"Författare, poet",Yrke,,
237,BirgittaBirgersdotter,Klostergrundare,Grundare av klosterorden,Ideellt arbete,,"{'pin': {'lat': '41.902701', 'lon': '12.496235'}, 'place': 'Rom, Italien'}"
238,MargaretaBirgersdotterGrip0,Genealog,Släktforskare,Ideellt arbete,,
239,MargaretaBiornstad,Ledamot,"Ledamot, Riksbankens Jubileumsfomds kulturvetenskapliga prioriteringsgrupp och områdesgruppen för konst och gestaltning",Yrke,"{'comment': '1994', 'date': '1994'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
240,UllaBjerne,Författare,"Författare, prosa, poesi, filmmanus, artiklar och reseberättelser",Yrke,"{'comment': '1916', 'date': '1916'}",
241,HildegardBjorck,Sjukvårdare,Sjukvårdare för Julia Ewerlöf,Yrke,"{'comment': '1904', 'date': '1904'}","{'pin': {'lat': 46.519654, 'lon': 6.632273}, 'place': 'Lausanne, Schweiz'}"
242,AnitaBjork,Skådespelare,,Yrke,"{'comment': '1942', 'date': '1942'}",
243,OlgaBjorkegren,Skådespelare,"Skådespelare, Nya teatern 1875–1879, Kungliga Dramatiska teatern 1879–1887",Yrke,"{'comment': '1875', 'date': '1875'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
244,SigridMagdalenaLovisaBjorkegren,Ordförande,"Ordförande, försäkringsbolaget Sjöassuransföreningen Njord",Ideellt arbete,"{'comment': '1898', 'date': '1898'}","{'pin': {'lat': '55.557396', 'lon': '14.348965'}, 'place': 'Simrishamn'}"
245,ElsaBjorkLiselius,Konstnär,"Konstnär, skulptör",Yrke,{'comment': '1940-talet'},
246,IngeborgFredrikaBjorklund,"Styrelseledamot, ordförande","Ordförande, Förenade författare förlag",Ideellt arbete,"{'comment': '1964', 'date': '1964'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
247,SusanneBjorkman,Professor,"Lektor, fr o m 1999 professor, radioproduktion, huvudlärare, radiolinjen, Dramatiska Institutet (nuvarande  Stockholms dramatiska högskola, StDH)",Yrke,"{'comment': '1989', 'date': '1989'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
248,ElsaBjorkmanGoldschmidt,Tidskriftsredaktör,"Redaktör, Svensk Litteraturtidskrift",Yrke,"{'comment': '1957', 'date': '1957'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
249,AnnaBjorling,Musiker,"Organist, Karlsborgs fästningskyrka, senare Stockholm",Yrke,"{'comment': '1875', 'date': '1875'}",
250,MandaBjorling,Lärare,"Diktionslärare, privat",Yrke,,
251,ReneeLouiseBjorling,Lärare,"Lärare, scenframställning och talteknik",Yrke,{'comment': 'Ca 1948'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
252,IngridBjornberg,Föreståndare,"Åldfru, Stockholms slott, fr o m 1976 även Roserbergs och Tullgarns slott",Yrke,"{'comment': '1974', 'date': '1974'}",
253,SigneBjornbergSiggeStark,Lantbrukare,"Lantbrukare, travkusk, häst- och hunduppfödare",Yrke,,
254,MartaBjornbom,Jurist,"Advokat, egen advokatbyrå",Yrke,"{'comment': '1925', 'date': '1925'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
255,KarinBjorquist,Konstnärlig ledare,"Konstnärlig ledare, Gustavsbergs porslinsfabrik",Yrke,"{'comment': '1980', 'date': '1980'}","{'pin': {'lat': 59.3256, 'lon': 18.388500000000022}, 'place': 'Gustavsberg'}"
256,EllenSylviaBlind,Författare,"Författare, poet",Yrke,"{'comment': '1975', 'date': '1975'}",
257,BirgittaBlom,Kommittéledamot,Ordförande i Stockholms handelskammares skiljedomsinstitut,Yrke,"{'comment': '1988', 'date': '1988'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
258,SigridBlomberg,"Skulptör, konstnär",Bokbindare,Yrke,"{'comment': '1912', 'date': '1912'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
259,EvaLauraKatarinaBlomberg,Affärsidkare,"Bokhandlare, konsertarrangör",Yrke,"{'comment': '1894', 'date': '1894'}","{'pin': {'lat': 59.597698, 'lon': 15.222911}, 'place': 'Lindesberg'}"
260,FannyBlomberg,Föreståndare,"Föreståndare, den högre pedagogiska och metodiska avdelningen, Handarbetets Vänners och Hulda Lundins högre slöjdseminarium",Yrke,"{'comment': '1905', 'date': '1905'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
261,LouiseLillMarieBlombergRolf,Bildterapeut,Bildterapeut,Yrke,,
262,CarinMargaretaBoalt,Professor,Professor i byggnadsfunktionslära vid Lunds tekniska högskola,Yrke,"{'comment': '1964', 'date': '1964'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
263,MagdaBoalt,Konstnär,Dockmakare,Yrke,"{'comment': '1944', 'date': '1944'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
264,AnnaBoberg,Konstnär,"Konstnär, formgivare",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
265,UllaBodorff,Redaktör,"Redaktör, tidskriften International Landscape",Yrke,,
266,MonicaBoethius,Kommittéledamot,"Regeringens jämställdhetsdelegation, ledamot",Yrke,"{'comment': '1995', 'date': '1995'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
267,GerdaBoethius,Professor,Professors namn,Yrke,"{'comment': '1938', 'date': '1938'}",
268,EzalineBoheman,Redaktör,,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
269,AnnaBohlin,Lärare,"Studiecirkelsledare, Seniorakademin i Lund",Ideellt arbete,"{'comment': '1981', 'date': '1981'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
270,BerithBohm,"Sångare, skådespelare","Sångare, skådespelare, Komediteatern",Yrke,{'comment': '1980-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
271,MartheBohm,Konstnär,Konstnär,Yrke,"{'comment': '1927', 'date': '1927'}","{'pin': {'lat': 61.7273909, 'lon': 17.10740099999998}, 'place': 'Hudiksvall'}"
272,SophieBolander,Tidskriftsredaktör,"Tidskriftsredaktör, ansvarig utgivare, Götha: tidskrift för fruntimmer",Yrke,"{'comment': '1849', 'date': '1849'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
273,AnnaMargaretaGretaBolin,Inspektor,"Inspektor, Lyceum för flickor",Yrke,"{'comment': '1954', 'date': '1954'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
274,ElsaAlfhildBolin,Konsult,"Utbildare, författare, Elsa Bolin Utbildningskonsult",Yrke,"{'comment': '1990', 'date': '1990'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
275,BarbroHeleneBolonassos,Bibliotekarie,"Enhetschef, Alby bibliotek, Botkyrka 1984–1988, Saltsjöbadens bibliotek 1988–1997, Fisksätra bibliotek, Nacka 1997–2014",Yrke,"{'comment': '1984', 'date': '1984'}",
276,EsterBoman,Lärare,"Lärare, vikarie för Alva Myrdal, Socialpedagogiska seminariet (senare Förskoleseminariet)",Yrke,"{'comment': '1941', 'date': '1941'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
277,MartaBoman,Telefonist,"Telefonväxelföreståndare, överblockledare",Yrke,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': '65.825119', 'lon': '21.688703'}, 'place': 'Boden'}"
278,EvaBonnier,Mecenat,,Ideellt arbete,,
279,JeanetteBonnier,Styrelseledamot,"Styrelseledamot, Expressen, Dagens Nyheter",Yrke,{'comment': '1990-tal'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
280,SuzanneBonnier,Ledamot,"Ledamot, Nämnden för Svenska institutet för Nordamerikastudier",Ideellt arbete,"{'comment': '1986', 'date': '1986'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
281,AliceBonthron,Föreståndare,Föreståndare vid Göteborgs Vanföreanstalt,Yrke,"{'comment': '1885', 'date': '1885'}",
282,CatharinaUlrikaBorelius,Skribent,Dagboksförfattare,Ideellt arbete,"{'comment': '1841', 'date': '1841'}",
283,HilmaBorelius,Lärare,Lärare vid Mariestads elementarläroverk för flickor,Yrke,"{'comment': '1898', 'date': '1898'}","{'pin': {'lat': '58.710112', 'lon': '13.821333'}, 'place': 'Mariestad'}"
284,BritaKerstinGunvorBorg,Skådespelare,"Skådespelare, film och TV",Yrke,"{'comment': '1940', 'date': '1940'}",
285,ElsaBorg,Tidskriftsredaktör,"Tidskriftsredaktör, utgivare, Trons hvila – Fridshälsning från Hvita Bergen",Yrke,"{'comment': '1885', 'date': '1885'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
286,IngaMariaBorg,Författare,Författare,Yrke,{'comment': '1950-talet'},
287,KatalinKatieBorg,Kommun- och landstingspolitiker,"Kommunalråd för skola, fritid, socialtjänst och kultur i Göteborgs och Bohus län, ordförande, skolstyrelsen och länsskolnämnden",Yrke,"{'comment': '1985', 'date': '1985'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
288,KristinaBorg,Styrelseledamot,"Styrelseledamot, arbetsföremedlingen i Helsingborg, 1911–1920 fattigvårdsstyrelsen, även Spädbarnshemskommittén, Barnbördshuskommittén m fl",Ideellt arbete,{'comment': '1900-talet'},"{'pin': {'lat': 56.046467, 'lon': 12.6945121}, 'place': 'Helsingborg'}"
289,HildaBorgstrom,Lärare,Lärare i scenframställning på Dramatens elevskola,Yrke,,
